,s_name,en_name,lon,lat
462,Carya illinoinensis,Pecan,-97.73633745,30.29246788
463,Carya illinoinensis,Pecan,-97.73634901,30.29249515
464,Carya illinoinensis,Pecan,-97.73517882,30.28920313
465,Carya illinoinensis,Pecan,-97.73911190000001,30.28680376
466,Carya illinoinensis,Pecan,-97.73938209,30.28693203
467,Carya illinoinensis,Pecan,-97.73946159,30.28695611
468,Carya illinoinensis,Pecan,-97.74018074,30.287076000000003
469,Carya illinoinensis,Pecan,-97.73208682,30.27551408
470,Carya illinoinensis,Pecan,-97.73419341,30.27592653
471,Carya illinoinensis,Pecan,-97.73419488,30.27588745
472,Carya illinoinensis,Pecan,-97.73435129999999,30.27591914
473,Carya illinoinensis,Pecan,-97.73433885,30.27585098
474,Carya illinoinensis,Pecan,-97.73424494,30.27585463
475,Carya illinoinensis,Pecan,-97.73229399,30.27558344
476,Carya illinoinensis,Pecan,-97.73225229,30.27560724
477,Carya illinoinensis,Pecan,-97.73126127,30.27818834
478,Carya illinoinensis,Pecan,-97.73088329,30.27838177
479,Carya illinoinensis,Pecan,-97.73152784,30.27812381
480,Carya illinoinensis,Pecan,-97.73150507,30.27809359
481,Carya illinoinensis,Pecan,-97.73157647,30.27798219
482,Carya illinoinensis,Pecan,-97.73170288,30.27790816
483,Carya illinoinensis,Pecan,-97.73229949,30.27561691
484,Carya illinoinensis,Pecan,-97.73240374,30.27560877
485,Carya illinoinensis,Pecan,-97.73223601,30.27571967
486,Carya illinoinensis,Pecan,-97.73217606,30.2757039
487,Carya illinoinensis,Pecan,-97.73211303,30.27569886
488,Carya illinoinensis,Pecan,-97.73208402,30.27568333
489,Carya illinoinensis,Pecan,-97.73189694,30.27562131
490,Carya illinoinensis,Pecan,-97.73422072,30.27863595
491,Carya illinoinensis,Pecan,-97.7341498,30.278495399999997
492,Carya illinoinensis,Pecan,-97.73414848,30.27832521
493,Carya illinoinensis,Pecan,-97.73417361,30.27825633
494,Carya illinoinensis,Pecan,-97.73416489,30.27820037
495,Carya illinoinensis,Pecan,-97.73491546,30.27722742
496,Carya illinoinensis,Pecan,-97.73531221,30.27733891
497,Carya illinoinensis,Pecan,-97.73538456,30.27725314
498,Carya illinoinensis,Pecan,-97.73305456,30.28062288
499,Carya illinoinensis,Pecan,-97.73291694,30.280802
500,Carya illinoinensis,Pecan,-97.73312474,30.28098738
501,Carya illinoinensis,Pecan,-97.73316383,30.28098963
502,Carya illinoinensis,Pecan,-97.73252085,30.28105673
503,Carya illinoinensis,Pecan,-97.73229337,30.28098352
504,Carya illinoinensis,Pecan,-97.73413904,30.27599927
505,Carya illinoinensis,Pecan,-97.73418014,30.27602532
506,Carya illinoinensis,Pecan,-97.73077444,30.28779808
507,Carya illinoinensis,Pecan,-97.73512642,30.28267167
508,Carya illinoinensis,Pecan,-97.72222934,30.28437098
509,Carya illinoinensis,Pecan,-97.72319326,30.28519727
510,Carya illinoinensis,Pecan,-97.72710853,30.27931446
511,Carya illinoinensis,Pecan,-97.73307964,30.27959501
512,Carya illinoinensis,Pecan,-97.72357737,30.28679095
513,Carya illinoinensis,Pecan,-97.72561483,30.27916925
514,Carya illinoinensis,Pecan,-97.73488676,30.28906918
515,Carya illinoinensis,Pecan,-97.73480864,30.28413565
516,Carya illinoinensis,Pecan,-97.72830938,30.27889767
517,Carya illinoinensis,Pecan,-97.72432868,30.28126379
518,Carya illinoinensis,Pecan,-97.73472447,30.29022797
519,Carya illinoinensis,Pecan,-97.73482132,30.28894079
520,Carya illinoinensis,Pecan,-97.73516686,30.28298039
521,Carya illinoinensis,Pecan,-97.73533278,30.27631251
522,Carya illinoinensis,Pecan,-97.73490317,30.29077878
523,Carya illinoinensis,Pecan,-97.73610756,30.29053269
524,Carya illinoinensis,Pecan,-97.73519906,30.281176399999996
525,Carya illinoinensis,Pecan,-97.73300481,30.27816237
526,Carya illinoinensis,Pecan,-97.73483022,30.27648181
527,Carya illinoinensis,Pecan,-97.73429012,30.27713919
528,Carya illinoinensis,Pecan,-97.73464099,30.27627126
529,Carya illinoinensis,Pecan,-97.73467666,30.27631741
530,Carya illinoinensis,Pecan,-97.73443457,30.2769343
531,Carya illinoinensis,Pecan,-97.73436338,30.27740584
532,Carya illinoinensis,Pecan,-97.74094161,30.28813573
533,Carya illinoinensis,Pecan,-97.73992614,30.286996999999996
534,Carya illinoinensis,Pecan,-97.73199937,30.27565873
535,Carya illinoinensis,Pecan,-97.73262958,30.28735396
536,Carya illinoinensis,Pecan,-97.73646562,30.29244916
537,Carya illinoinensis,Pecan,-97.73398669,30.28078305
538,Carya illinoinensis,Pecan,-97.73392219,30.28120961
539,Carya illinoinensis,Pecan,-97.73455303,30.27896608
540,Carya illinoinensis,Pecan,-97.74063268,30.290726300000003
541,Carya illinoinensis,Pecan,-97.73869374,30.29079397
542,Carya illinoinensis,Pecan,-97.7709134366288,30.263421809601496
543,Carya illinoinensis,Pecan,-97.7704769184441,30.2634617048451
544,Carya illinoinensis,Pecan,-97.7391827581571,30.265826490784303
545,Carya illinoinensis,Pecan,-97.77064001367751,30.2641699854466
546,Carya illinoinensis,Pecan,-97.77044002751329,30.2640099868227
547,Carya illinoinensis,Pecan,-97.70983550826571,30.2613823806642
548,Carya illinoinensis,Pecan,-97.71066918181629,30.2612719145043
549,Carya illinoinensis,Pecan,-97.73974419608092,30.1996220863298
550,Carya illinoinensis,Pecan,-97.7396481586098,30.1996977275245
551,Carya illinoinensis,Pecan,-97.7162129899758,30.2453677082135
552,Carya illinoinensis,Pecan,-97.7302686135157,30.341707645252498
553,Carya illinoinensis,Pecan,-97.6825633957289,30.287452976350398
554,Carya illinoinensis,Pecan,-97.7308321792885,30.3420194515158
555,Carya illinoinensis,Pecan,-97.6825556704641,30.287591160953603
556,Carya illinoinensis,Pecan,-97.7154417196311,30.246475633663696
557,Carya illinoinensis,Pecan,-97.7163122331534,30.244956413070696
558,Carya illinoinensis,Pecan,-97.75049452201559,30.257873534135104
559,Carya illinoinensis,Pecan,-97.73659389461321,30.263131628806
560,Carya illinoinensis,Pecan,-97.7091879005217,30.261314694158003
561,Carya illinoinensis,Pecan,-97.73534669839711,30.2755888470973
562,Carya illinoinensis,Pecan,-97.72597738549999,30.2994570295682
563,Carya illinoinensis,Pecan,-97.7261352046919,30.3011897191612
564,Carya illinoinensis,Pecan,-97.7393667138657,30.2937409711093
565,Carya illinoinensis,Pecan,-97.69113634853309,30.259567435890602
566,Carya illinoinensis,Pecan,-97.69139565796351,30.2595309223767
567,Carya illinoinensis,Pecan,-97.68024482214821,30.317326261046098
568,Carya illinoinensis,Pecan,-97.71249102473921,30.262667018713497
569,Carya illinoinensis,Pecan,-97.6904404476628,30.259011396926798
570,Carya illinoinensis,Pecan,-97.7314702565386,30.2907389717116
