,id,type_ids,lat,lon,parent_id,scientific_name,en_name,en_wikipedia_url
82,669714,93,30.2941990515346,-97.73872042924509,144.0,Carya illinoinensis,Pecan,http://en.wikipedia.org/wiki/Carya_illinoinensis
83,669994,93,30.2962010222373,-97.73955706765541,144.0,Carya illinoinensis,Pecan,http://en.wikipedia.org/wiki/Carya_illinoinensis
84,669995,93,30.2952544963679,-97.7406081304272,144.0,Carya illinoinensis,Pecan,http://en.wikipedia.org/wiki/Carya_illinoinensis
85,669996,93,30.2980161188434,-97.73867809608672,144.0,Carya illinoinensis,Pecan,http://en.wikipedia.org/wiki/Carya_illinoinensis
86,670002,93,30.3026594034155,-97.74738321442369,144.0,Carya illinoinensis,Pecan,http://en.wikipedia.org/wiki/Carya_illinoinensis
87,670033,93,30.262634922554604,-97.7382774525049,144.0,Carya illinoinensis,Pecan,http://en.wikipedia.org/wiki/Carya_illinoinensis
88,670197,93,30.2934083221719,-97.7387174718597,144.0,Carya illinoinensis,Pecan,http://en.wikipedia.org/wiki/Carya_illinoinensis
89,670259,93,30.2933950568589,-97.7387021407743,144.0,Carya illinoinensis,Pecan,http://en.wikipedia.org/wiki/Carya_illinoinensis
90,670261,93,30.2935251633698,-97.7389338101337,144.0,Carya illinoinensis,Pecan,http://en.wikipedia.org/wiki/Carya_illinoinensis
91,670407,93,30.2818341577106,-97.7523585384974,144.0,Carya illinoinensis,Pecan,http://en.wikipedia.org/wiki/Carya_illinoinensis
92,670544,93,30.297788711157498,-97.7391274022285,144.0,Carya illinoinensis,Pecan,http://en.wikipedia.org/wiki/Carya_illinoinensis
93,670556,93,30.2958995116214,-97.73908056266409,144.0,Carya illinoinensis,Pecan,http://en.wikipedia.org/wiki/Carya_illinoinensis
94,670568,93,30.293594696799197,-97.73895171733419,144.0,Carya illinoinensis,Pecan,http://en.wikipedia.org/wiki/Carya_illinoinensis
95,670642,93,30.2740171213503,-97.7506769372158,144.0,Carya illinoinensis,Pecan,http://en.wikipedia.org/wiki/Carya_illinoinensis
96,670718,93,30.2792359397311,-97.74240366028559,144.0,Carya illinoinensis,Pecan,http://en.wikipedia.org/wiki/Carya_illinoinensis
97,670865,93,30.2971231994136,-97.7490504459546,144.0,Carya illinoinensis,Pecan,http://en.wikipedia.org/wiki/Carya_illinoinensis
98,671083,93,30.295695002653304,-97.73999011094851,144.0,Carya illinoinensis,Pecan,http://en.wikipedia.org/wiki/Carya_illinoinensis
99,671205,93,30.2709977236064,-97.74930535513771,144.0,Carya illinoinensis,Pecan,http://en.wikipedia.org/wiki/Carya_illinoinensis
100,671252,93,30.2641133567036,-97.7558425758261,144.0,Carya illinoinensis,Pecan,http://en.wikipedia.org/wiki/Carya_illinoinensis
101,671405,93,30.2958468134653,-97.7392245414221,144.0,Carya illinoinensis,Pecan,http://en.wikipedia.org/wiki/Carya_illinoinensis
102,671498,93,30.295522156893302,-97.7398888322299,144.0,Carya illinoinensis,Pecan,http://en.wikipedia.org/wiki/Carya_illinoinensis
103,671499,93,30.2949030860464,-97.7401976555403,144.0,Carya illinoinensis,Pecan,http://en.wikipedia.org/wiki/Carya_illinoinensis
104,671502,93,30.2975431979734,-97.7391333359751,144.0,Carya illinoinensis,Pecan,http://en.wikipedia.org/wiki/Carya_illinoinensis
105,671503,93,30.29788657211,-97.73915744947911,144.0,Carya illinoinensis,Pecan,http://en.wikipedia.org/wiki/Carya_illinoinensis
106,671504,93,30.2985335450809,-97.7382054590015,144.0,Carya illinoinensis,Pecan,http://en.wikipedia.org/wiki/Carya_illinoinensis
107,671505,93,30.2981043617415,-97.73852650299,144.0,Carya illinoinensis,Pecan,http://en.wikipedia.org/wiki/Carya_illinoinensis
108,671521,93,30.2721621564935,-97.7453319947346,144.0,Carya illinoinensis,Pecan,http://en.wikipedia.org/wiki/Carya_illinoinensis
109,671774,93,30.2950111356027,-97.7397675467822,144.0,Carya illinoinensis,Pecan,http://en.wikipedia.org/wiki/Carya_illinoinensis
110,671802,93,30.3026941818598,-97.74734297899799,144.0,Carya illinoinensis,Pecan,http://en.wikipedia.org/wiki/Carya_illinoinensis
111,672115,93,30.272901043144397,-97.7511058709553,144.0,Carya illinoinensis,Pecan,http://en.wikipedia.org/wiki/Carya_illinoinensis
112,672116,93,30.273091949054898,-97.7504756463258,144.0,Carya illinoinensis,Pecan,http://en.wikipedia.org/wiki/Carya_illinoinensis
113,672273,93,30.2726796289788,-97.7506876981485,144.0,Carya illinoinensis,Pecan,http://en.wikipedia.org/wiki/Carya_illinoinensis
114,672290,93,30.293748418200398,-97.73857426532508,144.0,Carya illinoinensis,Pecan,http://en.wikipedia.org/wiki/Carya_illinoinensis
115,672383,93,30.263372558150202,-97.73822871643841,144.0,Carya illinoinensis,Pecan,http://en.wikipedia.org/wiki/Carya_illinoinensis
116,672519,93,30.2659929712571,-97.7394624490052,144.0,Carya illinoinensis,Pecan,http://en.wikipedia.org/wiki/Carya_illinoinensis
117,672606,93,30.262745216400297,-97.7376097028404,144.0,Carya illinoinensis,Pecan,http://en.wikipedia.org/wiki/Carya_illinoinensis
