scientific_name,en_name,lat,lon
Carya illinoinensis,Pecan,30.27733891,-97.73531221
Carya illinoinensis,Pecan,30.27725314,-97.73538456
Carya illinoinensis,Pecan,30.28062288,-97.73305456
Carya illinoinensis,Pecan,30.280802,-97.73291694
Carya illinoinensis,Pecan,30.28098738,-97.73312474
Carya illinoinensis,Pecan,30.28098963,-97.73316383
Carya illinoinensis,Pecan,30.28105673,-97.73252085
Carya illinoinensis,Pecan,30.28098352,-97.73229337
Carya illinoinensis,Pecan,30.27599927,-97.73413904
Carya illinoinensis,Pecan,30.27602532,-97.73418014
Carya illinoinensis,Pecan,30.28779808,-97.73077444
Carya illinoinensis,Pecan,30.28267167,-97.73512642
Carya illinoinensis,Pecan,30.28437098,-97.72222934
Carya illinoinensis,Pecan,30.28519727,-97.72319326
Carya illinoinensis,Pecan,30.27931446,-97.72710853
Carya illinoinensis,Pecan,30.27959501,-97.73307964
Carya illinoinensis,Pecan,30.28679095,-97.72357737
Carya illinoinensis,Pecan,30.27916925,-97.72561483
Carya illinoinensis,Pecan,30.28906918,-97.73488676
Carya illinoinensis,Pecan,30.28413565,-97.73480864
Carya illinoinensis,Pecan,30.27889767,-97.72830938
Carya illinoinensis,Pecan,30.28126379,-97.72432868
Carya illinoinensis,Pecan,30.29022797,-97.73472447
Carya illinoinensis,Pecan,30.28894079,-97.73482132
Carya illinoinensis,Pecan,30.28298039,-97.73516686
Carya illinoinensis,Pecan,30.27631251,-97.73533278
Carya illinoinensis,Pecan,30.29077878,-97.73490317
Carya illinoinensis,Pecan,30.29053269,-97.73610756
Carya illinoinensis,Pecan,30.281176399999996,-97.73519906
Carya illinoinensis,Pecan,30.27816237,-97.73300481
Carya illinoinensis,Pecan,30.27648181,-97.73483022
Carya illinoinensis,Pecan,30.27713919,-97.73429012
Carya illinoinensis,Pecan,30.27627126,-97.73464099
Carya illinoinensis,Pecan,30.27631741,-97.73467666
Carya illinoinensis,Pecan,30.2769343,-97.73443457
Carya illinoinensis,Pecan,30.27740584,-97.73436338
Carya illinoinensis,Pecan,30.28813573,-97.74094161
Carya illinoinensis,Pecan,30.286996999999996,-97.73992614
Carya illinoinensis,Pecan,30.27565873,-97.73199937
Carya illinoinensis,Pecan,30.28735396,-97.73262958
Carya illinoinensis,Pecan,30.29244916,-97.73646562
Carya illinoinensis,Pecan,30.28078305,-97.73398669
Carya illinoinensis,Pecan,30.28120961,-97.73392219
Carya illinoinensis,Pecan,30.27896608,-97.73455303
Carya illinoinensis,Pecan,30.290726300000003,-97.74063268
Carya illinoinensis,Pecan,30.29079397,-97.73869374
Carya illinoinensis,Pecan,30.263421809601496,-97.7709134366288
Carya illinoinensis,Pecan,30.2634617048451,-97.7704769184441
Carya illinoinensis,Pecan,30.265826490784303,-97.7391827581571
Carya illinoinensis,Pecan,30.2641699854466,-97.77064001367751
Carya illinoinensis,Pecan,30.2640099868227,-97.77044002751329
Carya illinoinensis,Pecan,30.2613823806642,-97.70983550826571
Carya illinoinensis,Pecan,30.2612719145043,-97.71066918181629
Carya illinoinensis,Pecan,30.1996220863298,-97.73974419608092
Carya illinoinensis,Pecan,30.1996977275245,-97.7396481586098
Carya illinoinensis,Pecan,30.2453677082135,-97.7162129899758
Carya illinoinensis,Pecan,30.341707645252498,-97.7302686135157
Carya illinoinensis,Pecan,30.287452976350398,-97.6825633957289
Carya illinoinensis,Pecan,30.3420194515158,-97.7308321792885
Carya illinoinensis,Pecan,30.287591160953603,-97.6825556704641
Carya illinoinensis,Pecan,30.246475633663696,-97.7154417196311
Carya illinoinensis,Pecan,30.244956413070696,-97.7163122331534
Carya illinoinensis,Pecan,30.257873534135104,-97.75049452201559
Carya illinoinensis,Pecan,30.263131628806,-97.73659389461321
Carya illinoinensis,Pecan,30.261314694158003,-97.7091879005217
Carya illinoinensis,Pecan,30.2755888470973,-97.73534669839711
Carya illinoinensis,Pecan,30.2994570295682,-97.72597738549999
Carya illinoinensis,Pecan,30.3011897191612,-97.7261352046919
Carya illinoinensis,Pecan,30.2937409711093,-97.7393667138657
Carya illinoinensis,Pecan,30.259567435890602,-97.69113634853309
Carya illinoinensis,Pecan,30.2595309223767,-97.69139565796351
Carya illinoinensis,Pecan,30.317326261046098,-97.68024482214821
Carya illinoinensis,Pecan,30.262667018713497,-97.71249102473921
Carya illinoinensis,Pecan,30.259011396926798,-97.6904404476628
Carya illinoinensis,Pecan,30.2907389717116,-97.7314702565386
Carya illinoinensis,Pecan,30.2500381888019,-97.72747319200279
Carya illinoinensis,Pecan,30.2749871075211,-97.73535665077509
Carya illinoinensis,Pecan,30.2595475987504,-97.6914748212384
Carya illinoinensis,Pecan,30.249887019629696,-97.7284802101573
Carya illinoinensis,Pecan,30.270721122600797,-97.71391172768541
Carya illinoinensis,Pecan,30.2710614585848,-97.7134627487532
Carya illinoinensis,Pecan,30.259872899391198,-97.69056998890059
Carya illinoinensis,Pecan,30.259714386646298,-97.6909695720973
Carya illinoinensis,Pecan,30.261713783894702,-97.7491434092214
Carya illinoinensis,Pecan,30.276916444433397,-97.68983983567509
Carya illinoinensis,Pecan,30.3539571632487,-97.681749477921
Carya illinoinensis,Pecan,30.2506895850046,-97.7282239401346
Carya illinoinensis,Pecan,30.3187330084105,-97.7276944892809
Carya illinoinensis,Pecan,30.2704229635477,-97.745622663852
Carya illinoinensis,Pecan,30.329908877758303,-97.7199002208155
Carya illinoinensis,Pecan,30.2596174034227,-97.6911067202224
Carya illinoinensis,Pecan,30.259579984197302,-97.69151280990259
Carya illinoinensis,Pecan,30.2743063011964,-97.7365418924564
Carya illinoinensis,Pecan,30.259632578291804,-97.75333898417021
Carya illinoinensis,Pecan,30.260546320232,-97.6880654083753
Carya illinoinensis,Pecan,30.2602274487236,-97.68909696990629
Carya illinoinensis,Pecan,30.261237411979497,-97.7092114391601
Carya illinoinensis,Pecan,30.308946500599102,-97.67139040674151
Carya illinoinensis,Pecan,30.310469852982102,-97.6853845770014
Carya illinoinensis,Pecan,30.3111273160024,-97.686971333274
Carya illinoinensis,Pecan,30.2481933564227,-97.74319144924891
Carya illinoinensis,Pecan,30.2464318338442,-97.7448692043021
Carya illinoinensis,Pecan,30.2461848890998,-97.7447579811479
Carya illinoinensis,Pecan,30.261469033418003,-97.75808883176649
