,s_name_x,en_name_x,lon_x,lat_x,s_name_y,en_name_y,lon_y,lat_y,distance_ft,resistance
5964378,Carya illinoinensis,Pecan,-97.73408223,30.28094333,Morus alba,White mulberry,-97.73402676,30.28091096,21.091110490536956,1
5964379,Carya illinoinensis,Pecan,-97.73408223,30.28094333,Morus alba,White mulberry,-97.73394776,30.28100595,48.130236361708945,1
5964380,Carya illinoinensis,Pecan,-97.73408223,30.28094333,Morus alba,White mulberry,-97.73397726,30.2808846,39.40368539767297,1
5964396,Carya illinoinensis,Pecan,-97.73408223,30.28094333,Morus alba,White mulberry,-97.7340667,30.28105715,41.810219535879476,1
5984296,Carya illinoinensis,Pecan,-97.73408223,30.28094333,Parthenocissus quinquefolia,Virginia creeper,-97.7340833099,30.2809832432,14.564813729503541,1
5984663,Carya illinoinensis,Pecan,-97.73406827,30.28097088,Morus alba,White mulberry,-97.73400584,30.28100248,22.797401080678316,1
5984664,Carya illinoinensis,Pecan,-97.73406827,30.28097088,Morus alba,White mulberry,-97.73402676,30.28091096,25.47264627497146,1
5984665,Carya illinoinensis,Pecan,-97.73406827,30.28097088,Morus alba,White mulberry,-97.73394776,30.28100595,40.06308312494529,1
5984666,Carya illinoinensis,Pecan,-97.73406827,30.28097088,Morus alba,White mulberry,-97.73397726,30.2808846,42.57706375851501,1
5984682,Carya illinoinensis,Pecan,-97.73406827,30.28097088,Morus alba,White mulberry,-97.7340667,30.28105715,31.47627266612238,1
6004582,Carya illinoinensis,Pecan,-97.73406827,30.28097088,Parthenocissus quinquefolia,Virginia creeper,-97.7340833099,30.2809832432,6.541593108145478,1
6004949,Carya illinoinensis,Pecan,-97.73402036,30.28090321,Morus alba,White mulberry,-97.73400584,30.28100248,36.50270465172655,1
6004950,Carya illinoinensis,Pecan,-97.73402036,30.28090321,Morus alba,White mulberry,-97.73402676,30.28091096,3.472588981110688,1
6004951,Carya illinoinensis,Pecan,-97.73402036,30.28090321,Morus alba,White mulberry,-97.73394776,30.28100595,43.90824606466534,1
6004952,Carya illinoinensis,Pecan,-97.73402036,30.28090321,Morus alba,White mulberry,-97.73397726,30.2808846,15.180899063985839,1
6024868,Carya illinoinensis,Pecan,-97.73402036,30.28090321,Parthenocissus quinquefolia,Virginia creeper,-97.7340833099,30.2809832432,35.29542158205486,1
